Customer,Category,Sub Category,Amount
Adam Bellavance,Office Supplies,Binders,4358
Adam Bellavance,Office Supplies,Paper,74
Adam Bellavance,Technology,Accessories,7
Adam Hart,Office Supplies,Binders,842
Adrian Shami,Office Supplies,Binders,41
Adrian Shami,Office Supplies,Paper,13
Alan Barnes,Office Supplies,Art,105
Alan Barnes,Office Supplies,Paper,47
Alan Barnes,Technology,Accessories,166
Alan Dominguez,Furniture,Chairs,601
Alan Dominguez,Office Supplies,Storage,1177
Alan Dominguez,Office Supplies,Paper,12
Alan Dominguez,Technology,Copiers,3000
Alan Haines,Office Supplies,Supplies,961
Alan Haines,Office Supplies,Binders,254
Alan Haines,Office Supplies,Appliances,195
Alan Hwang,Technology,Accessories,80
Alan Schoenberger,Furniture,Furnishings,27
Alan Shonely,Furniture,Furnishings,46
Alan Shonely,Office Supplies,Storage,143
Alan Shonely,Office Supplies,Paper,132
Alan Shonely,Office Supplies,Binders,50
Alejandro Grove,Office Supplies,Storage,56
Alejandro Savely,Furniture,Furnishings,210
Alejandro Savely,Office Supplies,Paper,51
Alejandro Savely,Office Supplies,Binders,50
Alice McCarthy,Office Supplies,Storage,37
Alice McCarthy,Office Supplies,Paper,20
Allen Armold,Furniture,Furnishings,28
Allen Armold,Office Supplies,Storage,17
Allen Armold,Technology,Accessories,150
Allen Rosenblatt,Furniture,Tables,1488
Allen Rosenblatt,Office Supplies,Paper,98
Allen Rosenblatt,Technology,Accessories,103
Alyssa Crouse,Furniture,Tables,698
Alyssa Crouse,Office Supplies,Binders,8
Andrew Allen,Office Supplies,Paper,16
Andrew Gjertsen,Office Supplies,Storage,60
Andrew Gjertsen,Office Supplies,Paper,30
Andrew Gjertsen,Office Supplies,Labels,25
Andrew Roberts,Office Supplies,Paper,58
Andrew Roberts,Office Supplies,Art,21
Andrew Roberts,Office Supplies,Binders,3
Andrew Roberts,Technology,Phones,55
Andy Gerbode,Office Supplies,Paper,16
Andy Gerbode,Technology,Phones,178
Ann Steele,Office Supplies,Envelopes,28
Ann Steele,Office Supplies,Labels,8
Ann Steele,Technology,Machines,337
Anna Gayman,Furniture,Bookcases,2396
Anna Gayman,Office Supplies,Storage,167
Anna Gayman,Technology,Accessories,58
Annie Thurman,Office Supplies,Appliances,97
Anthony Garverick,Office Supplies,Binders,6
Anthony Jacobs,Furniture,Furnishings,52
Anthony Jacobs,Office Supplies,Labels,3
Anthony Johnson,Furniture,Furnishings,311
Anthony Johnson,Office Supplies,Art,5
Anthony Johnson,Technology,Accessories,191
Anthony Johnson,Technology,Phones,59
Anthony Rawles,Furniture,Furnishings,15
Anthony Rawles,Technology,Accessories,316
Anthony Rawles,Technology,Phones,302
Art Foster,Furniture,Chairs,288
Art Foster,Technology,Phones,84
Arthur Gainer,Office Supplies,Art,9
Arthur Gainer,Office Supplies,Binders,8
Arthur Gainer,Technology,Accessories,1503
Arthur Prichep,Office Supplies,Envelopes,24
Ashley Jarboe,Office Supplies,Art,19
Astrea Jones,Office Supplies,Storage,449
Astrea Jones,Office Supplies,Envelopes,11
Barry Blumstein,Office Supplies,Fasteners,32
Barry Blumstein,Office Supplies,Appliances,30
Barry Blumstein,Office Supplies,Paper,9
Barry Blumstein,Office Supplies,Art,6
Barry Französisch,Office Supplies,Paper,23
