Order Date,Customer,City,State,Category,Sub Category,Amount
06/29/17,Dean Katz,Anaheim,California,Office Supplies,Storage,1296
11/10/15,Alan Hwang,Brentwood,California,Technology,Accessories,80
02/12/14,Sanjit Chand,Concord,California,Furniture,Chairs,130
07/25/16,Sanjit Chand,Costa Mesa,California,Office Supplies,Binders,120
07/25/16,Sanjit Chand,Costa Mesa,California,Furniture,Furnishings,256
07/25/16,Sanjit Chand,Costa Mesa,California,Furniture,Chairs,242
07/25/16,Sanjit Chand,Costa Mesa,California,Furniture,Furnishings,69
04/23/16,Grace Kelly,Hesperia,California,Office Supplies,Binders,252
04/23/16,Grace Kelly,Hesperia,California,Technology,Accessories,100
06/24/17,Caroline Jumper,Huntington Beach,California,Office Supplies,Art,96
09/16/17,Barry Blumstein,Inglewood,California,Office Supplies,Paper,9
09/16/17,Barry Blumstein,Inglewood,California,Office Supplies,Art,6
11/27/15,Carlos Daly,Lake Elsinore,California,Furniture,Chairs,284
03/17/17,Clay Ludtke,Lancaster,California,Office Supplies,Binders,17
12/12/15,Liz Thompson,Lancaster,California,Furniture,Chairs,349
09/19/14,Frank Atkinson,Long Beach,California,Office Supplies,Fasteners,7
09/18/15,Trudy Glocke,Long Beach,California,Office Supplies,Paper,161
09/18/15,Trudy Glocke,Long Beach,California,Office Supplies,Paper,20
09/18/15,Trudy Glocke,Long Beach,California,Office Supplies,Supplies,7
04/09/15,Jay Kimmel,Long Beach,California,Furniture,Tables,370
06/12/16,Darrin Van Huff,Los Angeles,California,Office Supplies,Labels,15
06/09/14,Brosina Hoffman,Los Angeles,California,Furniture,Furnishings,49
06/09/14,Brosina Hoffman,Los Angeles,California,Office Supplies,Art,7
06/09/14,Brosina Hoffman,Los Angeles,California,Technology,Phones,907
06/09/14,Brosina Hoffman,Los Angeles,California,Office Supplies,Binders,19
06/09/14,Brosina Hoffman,Los Angeles,California,Office Supplies,Appliances,115
06/09/14,Brosina Hoffman,Los Angeles,California,Furniture,Tables,1706
06/09/14,Brosina Hoffman,Los Angeles,California,Technology,Phones,911
01/16/16,Eric Hoffmann,Los Angeles,California,Office Supplies,Binders,12
01/16/16,Eric Hoffmann,Los Angeles,California,Technology,Accessories,91
07/17/16,Ruben Ausman,Los Angeles,California,Office Supplies,Storage,78
11/24/15,Kunst Miller,Los Angeles,California,Technology,Accessories,14
11/24/15,Kunst Miller,Los Angeles,California,Office Supplies,Binders,26
11/24/15,Kunst Miller,Los Angeles,California,Office Supplies,Paper,147
11/24/15,Kunst Miller,Los Angeles,California,Furniture,Furnishings,80
09/17/16,Jim Sink,Los Angeles,California,Office Supplies,Art,20
09/17/16,Jim Sink,Los Angeles,California,Technology,Phones,74
09/17/16,Jim Sink,Los Angeles,California,Office Supplies,Paper,6
11/06/16,Lindsay Shagiari,Los Angeles,California,Furniture,Chairs,81
11/06/16,Lindsay Shagiari,Los Angeles,California,Furniture,Furnishings,239
05/11/16,Ted Trevino,Los Angeles,California,Office Supplies,Paper,6
08/05/14,Chad Sievert,Los Angeles,California,Office Supplies,Paper,21
08/05/14,Chad Sievert,Los Angeles,California,Office Supplies,Paper,111
08/05/14,Chad Sievert,Los Angeles,California,Furniture,Chairs,340
08/26/14,Frank Merwin,Los Angeles,California,Technology,Accessories,177
10/28/16,Jonathan Howell,Los Angeles,California,Office Supplies,Storage,93
10/28/16,Jonathan Howell,Los Angeles,California,Technology,Phones,302
11/02/15,Jas O'Carroll,Los Angeles,California,Furniture,Tables,1039
09/01/15,Doug Bickford,Los Angeles,California,Office Supplies,Binders,5
09/01/15,Doug Bickford,Los Angeles,California,Technology,Copiers,960
09/01/15,Doug Bickford,Los Angeles,California,Office Supplies,Binders,14
04/14/16,Philip Brown,Los Angeles,California,Furniture,Chairs,384
03/04/17,Sung Pak,Los Angeles,California,Office Supplies,Art,9
03/04/17,Sung Pak,Los Angeles,California,Office Supplies,Envelopes,15
07/12/16,Kristen Hastings,Los Angeles,California,Technology,Phones,96
06/10/17,Michelle Tran,Los Angeles,California,Office Supplies,Labels,30
06/10/17,Michelle Tran,Los Angeles,California,Furniture,Bookcases,514
06/10/17,Michelle Tran,Los Angeles,California,Technology,Phones,280
12/21/17,Bradley Nguyen,Los Angeles,California,Office Supplies,Art,7
